school_key,מוסד,מועצה,מין,גיוס,לחימה,קצונה,משמעותי,Unnamed: 8,המידע המוצג הינו מתוך מערכת מוסדות וערים שממנה יוצאים כל שנה נתונים אחרי אישור של לשכת רחט,פיקוח,מגזר,מחוז,רשות,ישוב,סוג מוסד,שלב חינוך במוסד,תלמידים_בנים,תלמידים_בנות,תלמידים,קבוצה,תלמידים_יב
380055,כפר גלים,כפר גלים,ז,94.37,56.72,6.67,95.52,,,ממלכתי,יהודי,חיפה,חוף הכרמל,כפר גלים,"בי""ס חקלאי","חט""ב + עליונה",131.0,96.0,227.0,חילוני - קיבוצים/כפרי,131.0
571174,אורט רמת יוסף,בת ים,ז,91.23,23.53,0.0,84.32000000000001,,,ממלכתי,יהודי,תל אביב,בת ים,בת ים,בית ספר,"חט""ב + עליונה",60.0,37.0,97.0,חילוני - ערי מרכז,60.0
540021,תיכון תלמה ילין,גבעתיים,ז,68.85,19.05,8.7,71.43,,,ממלכתי,יהודי,תל אביב,גבעתיים,גבעתיים,בית ספר,עליונה בלבד,51.0,97.0,148.0,חילוני - ערי מרכז,51.0
540591,תיכון שמעון בן צבי,גבעתיים,ז,90.91,31.43,14.93,85.71,,,ממלכתי,יהודי,תל אביב,גבעתיים,גבעתיים,בית ספר,עליונה בלבד,107.0,94.0,201.0,חילוני - ערי מרכז,107.0
370122,"מקיף ע""ש שיפמן",טירת כרמל,ז,91.67,49.43,1.96,87.35,,,ממלכתי,יהודי,חיפה,טירת כרמל,טירת כרמל,בית ספר,"חט""ב + עליונה",71.0,54.0,125.0,חילוני - ערי פריפריה,71.0
570051,"עמל שבח מופת ת""א",תלאביב יפו,ז,87.93,25.53,0.0,85.11,,,ממלכתי,יהודי,תל אביב,תל אביב-יפו,תל אביב - יפו,בית ספר,"חט""ב + עליונה",87.0,62.0,149.0,חילוני - ערי מרכז,87.0
640078,מקיף דתי עירוני ב',אשקלון,ז,86.27,53.49,0.0,88.36999999999999,,,ממלכתי דתי,יהודי,דרום,אשקלון,אשקלון,בית ספר,"חט""ב + עליונה",25.0,40.0,65.0,דתי לאומי - פריפריה,25.0
440115,מקיף טשרניחובסקי,נתניה,ז,85.71,41.54,5.0,80.0,,,ממלכתי,יהודי,תל אביב,נתניה,נתניה,בית ספר,"חט""ב + עליונה",77.0,87.0,164.0,חילוני - ערי מרכז,77.0
440370,"ישיבת בנ""ע רעננה",רעננה,ז,87.01,66.67,10.64,95.45,,,ממלכתי דתי,יהודי,מרכז,רעננה,רעננה,ישיבה תיכונית,"חט""ב + עליונה",75.0,0.0,75.0,דתי לאומי - מרכז,75.0
370072,עמל חדרה למדעים ולאמנויות,חדרה,ז,96.32,42.78,3.47,95.0,,,ממלכתי,יהודי,חיפה,חדרה,חדרה,בית ספר,"חט""ב + עליונה",155.0,186.0,341.0,חילוני - ערי מרכז,155.0
360123,מקיף גוונים,עין שמר,ז,87.5,53.97,12.5,88.89,,,ממלכתי,יהודי,חיפה,מנשה,עין שמר,"בי""ס קיבוצי","חט""ב + עליונה",111.0,88.0,199.0,חילוני - קיבוצים/כפרי,111.0
240572,מקיף ולדורף הרדוף,הרדוף,ז,87.88,48.28,7.41,89.66,,,ממלכתי,יהודי,צפון,עמק יזרעאל,הרדוף,בית ספר,"חט""ב + עליונה",34.0,46.0,80.0,חילוני - קיבוצים/כפרי,34.0
340216,הריאלי העברי חיפה,חיפה,ז,93.33,50.89,18.3,91.07,,,ממלכתי,יהודי,חיפה,חיפה,חיפה,בית ספר,עליונה בלבד,276.0,192.0,468.0,חילוני - ערי מרכז,276.0
244152,עמל שחקים נהריה,נהריה,ז,91.6,35.0,6.25,85.83,,,ממלכתי,יהודי,צפון,נהריה,נהריה,בית ספר,"חט""ב + עליונה",132.0,95.0,227.0,חילוני - ערי פריפריה,132.0
360222,מקיף כרמל זבולון,יגור,ז,93.9,69.74,10.61,96.05000000000001,,,ממלכתי,יהודי,חיפה,זבולון,יגור,"בי""ס קיבוצי","חט""ב + עליונה",87.0,73.0,160.0,חילוני - ערי פריפריה,87.0
340190,כל ישראל חברים,חיפה,ז,93.33,38.14,2.78,85.56,,,ממלכתי,יהודי,חיפה,חיפה,חיפה,בית ספר,"חט""ב + עליונה",109.0,94.0,203.0,חילוני - ערי מרכז,109.0
140939,"ישיבת בנ""ע מטה בנימין",בית אל,ז,88.51,75.32,8.0,96.10000000000001,,,ממלכתי דתי,יהודי,ירושלים,מטה בנימין,בית אל,ישיבה תיכונית,"חט""ב + עליונה",95.0,0.0,95.0,דתי לאומי - התנחלויות,95.0
349928,ניסויי על איזורי תפן,כפר ורדים,ז,78.79,73.08,10.53,96.15,,,ממלכתי,יהודי,צפון,כפר ורדים,כפר ורדים,בית ספר,"חט""ב + עליונה",45.0,27.0,72.0,חילוני - ערי פריפריה,45.0
340034,מקיף אורט,ק.מוצקין,ז,97.06,38.04,2.72,88.35000000000001,,,ממלכתי,יהודי,חיפה,קרית מוצקין,קרית מוצקין,בית ספר,עליונה בלבד,191.0,192.0,383.0,חילוני - ערי פריפריה,191.0
770396,מכללה טכנו' חיל-אויר,חיפה,ז,95.7,2.25,2.41,97.75999999999999,,,ממלכתי,יהודי,חיפה,חיפה,חיפה,בית ספר,עליונה בלבד,84.0,44.0,128.0,חילוני - ערי מרכז,84.0
260109,תיכון אזורי מגידו,עין השופט,ז,96.59,65.48,10.34,95.24000000000001,,,ממלכתי,יהודי,צפון,מגידו,עין השופט,"בי""ס קיבוצי","חט""ב + עליונה",93.0,91.0,184.0,חילוני - קיבוצים/כפרי,93.0
770776,"מקיף אורט ע""ש אברט",חצור הגליל,ז,89.74,34.29,0.0,91.43,,,ממלכתי,יהודי,צפון,חצור הגלילית,חצור הגלילית,בית ספר,"חט""ב + עליונה",55.0,36.0,91.0,חילוני - ערי פריפריה,55.0
